Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-hl7.fhir.uv.fhir-course.json	7282	-	0	0	0	0	0	0	14	88	0	0	0	0	0	0	0	1	0	0	118	327	0	0	0	6	0	0
fsh-generated/resources/CapabilityStatement-FHIRCourseCapabilityStatement.json	1233	9	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	53	322	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-patient-contact-relationship.json	761	14	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	42	680	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-patient-nationality-codesystem.json	17025	16	0	0	0	0	0	0	7	59	0	0	0	0	0	0	0	0	0	0	143	476	0	0	0	24	0	0
fsh-generated/resources/NamingSystem-PatientMrnNamingSystem.json	437	16	20	0	0	0	0	0	0	39	1018	0	0	0	0	0	0	0	0	0	47	329	0	0	0	3	0	0
fsh-generated/resources/NamingSystem-PractitionerIdentifierNamingSystem.json	460	30	9	0	0	0	0	0	2	33	17	0	0	0	0	0	0	0	0	0	54	220	0	0	0	0	0	0
fsh-generated/resources/Patient-PatientExample.json	261	14	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	25	176	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-example-001.json	2507	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	238	0	0	0	0	0	0
fsh-generated/resources/Practitioner-122456.json	313	0	0	0	0	0	0	0	0	769	0	0	0	0	0	0	0	0	0	0	38	287	0	0	0	0	0	0
fsh-generated/resources/Practitioner-456789.json	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	199	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-MyPatient.json	610	16	0	76	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	250	5481	0	0	0	29	0	17
fsh-generated/resources/StructureDefinition-fhir-course-patient01.json	9939	0	0	224	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	783	10910	0	0	0	54	0	0
fsh-generated/resources/StructureDefinition-patient-nationality-extension.json	3720	12	0	45	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	189	2085	0	0	0	8	0	0
fsh-generated/resources/ValueSet-patient-nationality-valueset.json	824	4	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	50	1312	0	0	0	0	0	0
\input\includes\menu.xml	2080	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
\fsh-generated\includes\fsh-link-references.md	860	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
\input\pagecontent\background.xml	481	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0
\input\pagecontent\capabilitystatements.md	914	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
\input\pagecontent\changes.xml	528	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0
\input\pagecontent\downloads.xml	1334	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0
\input\pagecontent\examples.md	776	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
\input\pagecontent\extensions.md	621	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\input\pagecontent\generalrequirements.xml	805	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0
\input\pagecontent\index.xml	1852	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0
\input\pagecontent\mustsupport.xml	789	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0
\input\pagecontent\profiles.xml	1611	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0
\input\pagecontent\searchparameters.md	456	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
\input\pagecontent\security.xml	955	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0
\input\pagecontent\terminology.md	1178	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0
\template\config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
